,lat,lon,osm_id
19428,48.5299358,10.2350871,345685242
19429,48.5190313,10.222046,345685171
19430,48.5140065,10.214243,345685182
19431,48.4862567,10.1736014,345685289
19432,48.5165828,10.2182608,345685092
19433,48.498287,10.1898477,345684981
19434,48.5289321,10.234163,345685415
19435,48.5116487,10.2106273,345685233
19436,47.6579438,9.8095178,251417211
19437,47.7114136,9.8141483,251417246
19438,47.6910506,9.8075623,251417235
19439,47.6938256,9.8075344,251417237
19440,48.4896454,10.1776239,345685251
19441,47.7138897,9.8172221,251417247
19442,47.6999986,9.8061272,251417239
19443,48.4929301,10.1814949,345685190
19444,47.7037933,9.8046477,251417241
19445,47.6864219,9.8085833,251417233
19446,47.664297,9.8095076,251417217
19447,47.6966394,9.8075208,251417238
19448,47.7168998,9.8183058,251417248
19449,47.7349568,9.8247511,251417256
19450,48.3030426,9.8852488,251417554
19451,47.751572,9.8268287,251417265
19452,47.7258389,9.8215137,251417252
19453,47.7289022,9.8226021,251417253
19454,47.7227354,9.8203711,251417251
19455,47.7646621,9.8182012,251417271
19456,47.6671597,9.8095237,251417219
19457,48.5242851,10.2301699,345685408
19458,47.7623585,9.819759,251417270
19459,47.6813652,9.809502,251417229
19460,47.6887262,9.8075337,251417234
19461,47.6702046,9.8095014,251417222
19462,47.7669599,9.8167286,251417273
19463,47.7543201,9.8250322,251417266
19464,47.7793547,9.8180373,251417279
19465,48.5063957,10.2024323,345685383
19466,47.7571153,9.8231868,251417267
19467,47.7721749,9.8160216,251417277
19468,47.8027698,9.8204129,251417289
19469,48.5216389,10.2261056,345685069
19470,47.7903591,9.8211489,251417283
19471,47.7998657,9.8216961,251417287
19472,47.7866324,9.8200648,251417282
19473,47.7199056,9.8193725,251417249
19474,48.5270909,10.2326376,345685436
19475,47.7060957,9.8074994,251417242
19476,47.7830964,9.819089,251417281
19477,47.8140893,9.8155737,251417295
19478,47.8084878,9.8179836,251417292
19479,47.7374715,9.825655,251417257
19480,47.8056017,9.8192333,251417291
19481,47.6731277,9.8095011,251417224
19482,47.8164892,9.8145721,251417296
19483,47.75982,9.8214375,251417269
19484,47.8196734,9.8150549,251417297
19485,47.7086916,9.810725,251417243
19486,47.6843746,9.8095239,251417230
19487,48.3021895,9.8870686,251417553
19488,47.8115286,9.8166589,251417293
19489,47.7693028,9.8151987,251417275
19490,47.8323649,9.8170926,251417303
19491,47.8348421,9.8175252,251417305
19492,47.7936279,9.8220442,251417285
19493,47.7968712,9.8229554,251417286
19494,47.6554385,9.8102495,251417206
19495,47.6609377,9.8095057,251417215
19496,47.7756807,9.8169907,251417278
19497,47.8403233,9.818445,251417307
19498,47.6786681,9.8095121,251417228
19499,47.8463032,9.819413,251417310
19500,47.8377273,9.8180107,251417306
19501,47.7489825,9.8297749,251417263
19502,47.8295815,9.816664,251417301
19503,48.530938,10.2330806,345685437
19504,47.7459773,9.8286956,251417262
19505,47.7320051,9.823701,251417255
19506,47.8260025,9.8161168,251417300
19507,47.7402313,9.8266152,251417259
19508,47.8227678,9.8155479,251417299
19509,47.6758708,9.809513,251417225
19510,47.8524271,9.8258157,251417312
19511,47.7433121,9.8277576,251417261
19512,47.8772917,9.8314534,251417324
19513,47.8586397,9.8266311,251417317
19514,47.8649115,9.8274373,251417319
19515,47.8682132,9.8278812,251417321
19516,47.8881208,9.837328,251417331
19517,47.8803285,9.8331116,251417326
19518,47.8432613,9.8189329,251417309
19519,47.8715203,9.8283211,251417322
19520,47.8909591,9.8388778,251417332
19521,47.8828751,9.834487,251417327
19522,47.9015005,9.8446118,251417337
19523,47.8854337,9.8358544,251417329
19524,47.8936984,9.8403677,251417333
19525,47.8617748,9.8270337,251417318
19526,47.904324,9.8453585,251417339
19527,47.9131408,9.8477293,251417344
19528,47.8557957,9.8262379,251417315
19529,47.8494437,9.8227072,251417311
19530,47.8962243,9.8417416,251417335
19531,47.8744779,9.8299192,251417323
19532,47.9158843,9.848486,251417345
19533,47.9299288,9.8522349,251417351
19534,47.9243441,9.8507271,251417349
19535,47.9356477,9.8537753,251417354
19536,47.9213166,9.8499059,251417347
19537,47.9074415,9.8462107,251417340
19538,47.9186203,9.8491994,251417346
19539,47.9412684,9.8543756,251417357
19540,47.9444626,9.8547077,251417359
19541,47.93844,9.8540862,251417355
19542,47.9480879,9.8551325,251417360
19543,47.8987888,9.8431318,251417336
19544,47.9513832,9.8554189,251417361
19545,47.9103004,9.8469625,251417341
19546,47.9329049,9.8530286,251417352
19547,47.9540007,9.8557507,251417362
19548,47.9273378,9.8515222,251417350
19549,47.9571515,9.856071,251417364
19550,47.9602031,9.8564253,251417365
19551,47.9632562,9.8567362,251417366
19552,47.966119,9.8570527,251417368
19553,47.9790066,9.8720618,251417375
19554,47.971474,9.8632853,251417371
19555,47.9743295,9.8666129,251417373
19556,47.981533,9.8749964,251417377
19557,47.9767715,9.8694442,251417374
19558,47.9869787,9.8789151,251417379
19559,47.9686259,9.8599696,251417369
19560,47.9842905,9.878244,251417378
19561,47.9991138,9.8818197,251417386
19562,47.9931541,9.8803917,251417383
19563,47.9901939,9.8796642,251417381
19564,47.9963606,9.8811698,251417384
19565,48.0022045,9.8825766,251417387
19566,48.011087,9.8847213,251417391
19567,48.0077887,9.883933,251417390
19568,48.0139226,9.8854039,251417392
19569,48.0161438,9.8839126,251417393
19570,48.0207473,9.8808171,251417397
19571,48.0051945,9.8832957,251417388
19572,48.018438,9.8823513,251417395
19573,48.0265119,9.8768935,251417400
19574,48.0294187,9.8749425,251417401
19575,48.032296,9.872974,251417402
19576,48.0354923,9.8735539,251417404
19577,48.0235856,9.8788754,251417398
19578,48.0385085,9.8740898,251417405
19579,48.0445964,9.8751718,251417407
19580,48.0476179,9.8757195,251417409
19581,48.0503939,9.8761975,251417411
19582,48.0569524,9.8758711,251417414
19583,48.0536395,9.8767618,251417412
19584,48.0414565,9.8746399,251417406
19585,48.0602582,9.8749851,251417415
19586,48.0677722,9.8730054,251417417
19587,48.0757619,9.8708379,251417420
19588,48.0811887,9.8694391,251417423
19589,48.0958368,9.8655164,251417430
19590,48.0924264,9.8664031,251417429
19591,48.0643741,9.8738919,251417416
19592,48.1014334,9.8653356,251417433
19593,48.0896061,9.8671858,251417427
19594,48.0787086,9.8700456,251417421
19595,48.1097535,9.8670439,251417437
19596,48.0986605,9.8647133,251417431
19597,48.1176695,9.8686546,251417441
19598,48.0865391,9.8679749,251417426
19599,48.1041416,9.8658873,251417434
19600,48.1123801,9.8675672,251417438
19601,48.1151451,9.8681519,251417440
19602,48.1209036,9.8693318,251417443
19603,48.084113,9.8686079,251417424
19604,48.1302028,9.8718853,251417446
19605,48.1067894,9.8664294,251417435
19606,48.1492329,9.8796852,251417456
19607,48.138411,9.8753212,251417450
19608,48.1238791,9.8699801,251417444
19609,48.1468253,9.8787037,251417455
19610,48.1329203,9.8730333,251417448
19611,48.1359002,9.8743001,251417449
19612,48.1270307,9.8706408,251417445
19613,48.1661771,9.8798085,251417464
19614,48.0719024,9.8718858,251417419
19615,48.1572568,9.8829521,251417460
19616,48.1438813,9.8775009,251417453
19617,48.1628347,9.8810198,251417463
19618,48.1690288,9.8788486,251417466
19619,48.1543579,9.8818041,251417459
19620,48.1718153,9.8778803,251417467
19621,48.1929188,9.870504,251417477
19622,48.1596751,9.8821075,251417462
19623,48.180309,9.8749285,251417472
19624,48.1903367,9.8713966,251417476
19625,48.2256505,9.861135,251417493
19626,48.177679,9.8758391,251417470
19627,48.1410751,9.8764003,251417452
19628,48.235885,9.8611675,251417512
19629,48.2284055,9.8608325,251417496
19630,48.2202969,9.86172,251417491
19631,48.240772,9.8627591,251417521
19632,48.1749458,9.8767988,251417469
19633,48.2332653,9.8610709,251417502
19634,48.2383461,9.8612534,251417520
19635,48.2571688,9.8725615,251417529
19636,48.2657613,9.8777164,251417534
19637,48.2600867,9.8742835,251417530
19638,48.2630544,9.8760752,251417533
19639,48.2684864,9.8793485,251417535
19640,48.2712572,9.8806703,251417536
19641,48.2739167,9.8819224,251417538
19642,48.2150318,9.8623251,251417488
19643,48.2965687,9.8925872,251417549
19644,48.2938214,9.8913048,251417548
19645,48.2908051,9.8898827,251417546
19646,48.2037567,9.8635707,251417482
19647,48.1517919,9.8807468,251417458
19648,48.2980463,9.8911484,251417550
19649,48.2881388,9.888611,251417544
19650,47.6525789,9.8031666,346153670
19651,48.2231086,9.8614394,251417492
19652,48.2795127,9.8845741,251417540
19653,48.2825385,9.8859994,251417541
19654,48.3021895,9.8870686,251417553
19655,48.2463208,9.8660488,251417524
19656,48.9152979,9.1899103,402315851
19657,49.4387244,8.5503116,1658281182
19658,47.6525281,9.8010437,2899661327
19659,49.4292199,8.5625329,1577454894
19660,48.3004835,9.8887301,251417551
19661,48.183459,9.8738001,251417473
19662,49.4278699,8.5700451,1577454889
19663,48.9163243,9.1900225,1577454221
19664,49.4304483,8.558507,1577454897
19665,49.4328892,8.550527,1582379863
19666,48.2767051,9.8832203,251417539
19667,48.2492963,9.8678778,251417525
19668,49.4355841,8.5504122,1658281166
19669,49.4276542,8.5741045,1577454886
19670,48.2095913,9.8629109,251417486
19671,47.6524985,9.801453,2899661326
19672,48.2435172,9.8643286,251417522
19673,49.4280563,8.5663203,1577454891
19674,48.2123008,9.8626097,251417487
19675,49.4273892,8.579094,1577454883
19676,49.4317523,8.5542419,1577454900
19677,48.1867784,9.8726366,251417474
19678,48.1958724,9.8694981,251417478
19679,48.2853066,9.8872963,251417543
19680,49.4250905,8.5817094,1577454880
19681,48.2176588,9.8620038,251417489
19682,48.2306357,9.8609419,251417497
19683,49.4223693,8.5847025,1577454877
19684,48.1989835,9.8683987,251417479
19685,49.4180349,8.5895905,1577454873
19686,49.4200501,8.5873822,1577454875
19687,48.2021071,9.8673185,251417481
19688,48.2068739,9.8631995,251417484
19689,49.4158318,8.5920895,1577454870
19690,48.2546042,9.871027,251417528
19691,49.4115062,8.5969899,1577454864
19692,48.2520317,9.8695094,251417526
19693,49.4068781,8.6022228,1577454860
19694,49.3951035,8.608488,1577454845
19695,49.3987037,8.6080008,1577454853
19696,49.3915324,8.6089859,1577454844
19697,49.378934,8.6075361,1577454835
19698,49.4137092,8.5944499,1577454868
19699,49.3851412,8.6087434,1577454840
19700,49.3619176,8.620771,1577454812
19701,49.37587,8.6069677,1577454829
19702,49.4091506,8.5996411,1577454861
19703,49.3644981,8.6126146,1577454821
19704,49.3702036,8.6058956,1577454827
19705,49.3822198,8.6081882,1577454838
19706,49.4046,8.6047992,1577454858
19707,49.4021425,8.6075426,1577454855
19708,49.3542968,8.6446696,1577454795
19709,49.353041,8.6486014,1577454794
19710,49.3884661,8.6093824,1577454843
19711,49.3731665,8.6064738,1577454828
19712,49.3488364,8.6618025,1577454788
19713,49.3556558,8.6405369,1577454801
19714,49.3474178,8.6662569,1577454780
19715,49.3501839,8.6575988,1577454791
19716,49.3569783,8.6363567,1577454804
19717,49.3515893,8.6532088,1577454793
19718,49.3461949,8.6701253,1577454779
19719,49.3608139,8.6242348,1577454811
19720,49.3631812,8.6167826,1577454817
19721,49.3422291,8.6744494,1577454777
19722,49.3344799,8.6755919,1577454763
19723,49.3319671,8.6751343,1920701755
19724,49.3581611,8.6325143,1577454807
19725,49.3440648,8.6724418,1577454778
19726,49.337228,8.6761685,1577454764
19727,49.3254679,8.6739384,1577454759
19728,49.322529,8.6733943,1577454757
19729,49.3594697,8.6284161,1577454809
19730,49.3401999,8.6766416,1577454776
19731,49.3671095,8.6084224,1577454824
19732,49.3112071,8.6713018,1577454740
19733,49.3141849,8.6718596,1577454741
19734,49.3093507,8.6730194,1577454737
19735,49.3199065,8.6728945,1577454753
19736,49.3290329,8.674589,1577454762
19737,49.3020332,8.6736041,1577454730
19738,49.3055394,8.6734022,1577454735
19739,49.3171537,8.6724038,1577454742
19740,49.2995849,8.6737882,1577454716
19741,49.2882061,8.6767237,1577454705
19742,49.2754148,8.6866427,1577454686
19743,49.2777385,8.6848456,1577454689
19744,49.2733786,8.6882304,1577454682
19745,49.2712705,8.6898589,1577454667
19746,49.2666125,8.6935054,1577454665
19747,49.2965493,8.673929,1577454715
19748,49.2631085,8.6984444,1577454661
19749,49.29414,8.6740961,1577454714
19750,49.2624124,8.7185774,1577454647
19751,49.2627123,8.7059439,1577454648
19752,49.261269,8.7229578,1577454645
19753,49.2690062,8.6916264,1577454666
19754,49.2524047,8.7386325,1577454632
19755,49.2588246,8.7326509,1577454635
19756,49.2442152,8.7461832,1577454621
19757,49.2601361,8.7274371,1577454637
19758,49.2800834,8.6830029,1577454691
19759,49.2391632,8.7505143,1577454618
19760,49.2422381,8.747828,1577454619
19761,49.2856061,8.678717,1577454693
19762,49.2911285,8.6743634,1577454710
19763,49.2459116,8.7446688,1577454630
19764,49.2628977,8.7144943,1577454649
19765,49.2323619,8.7562997,1577454616
19766,49.2203481,8.7665906,1577454604
19767,49.2620431,8.7021965,1577454646
19768,49.2305713,8.7578366,1577454615
19769,49.2359504,8.7532536,1577454617
19770,49.2182223,8.7684258,1577454603
19771,49.217805,8.7776993,1577454601
19772,49.2491467,8.741685,1577454631
19773,49.2280762,8.7599687,1577454608
19774,49.2264224,8.7614042,2269499269
19775,49.2160302,8.8034228,1577454586
19776,49.2172199,8.7908333,1577454592
19777,49.2639137,8.6956059,1577454664
19778,49.2555125,8.7357386,1577454633
19779,49.217648,8.7816695,1577454596
19780,49.2174069,8.7868486,1577454594
19781,49.2634445,8.7101403,1577454663
19782,49.2232927,8.7640908,1577454606
19783,49.2106152,8.8292141,1577454572
19784,49.2829722,8.6807843,1577454692
19785,49.2095591,8.8340996,1577454571
19786,49.212387,8.8207173,1577454580
19787,49.2180244,8.7727738,1577454602
19788,49.2087676,8.8379087,2269499255
19789,49.2168253,8.7996378,1577454588
19790,49.213946,8.8133621,1577454584
19791,49.2170521,8.7953756,1577454590
19792,49.2023411,8.868343,1577454556
19793,49.1900918,8.888117,1577454541
19794,49.2044414,8.8583491,1577454566
19795,49.2148143,8.809236,1577454585
19796,49.2077796,8.8425628,1577454570
19797,49.1924443,8.8843289,1577454544
19798,49.2053812,8.8538982,1577454568
19799,49.1767618,8.9008968,1577454529
19800,49.18142,8.8977065,1577454533
19801,49.2033224,8.8636544,1577454557
19802,49.1734956,8.90315,1577454527
19803,49.2114279,8.8253259,1577454577
19804,49.216309,8.8020956,2646084885
19805,49.1944529,8.8810735,1577454552
19806,49.1882585,8.8910937,1577454540
19807,49.2130408,8.8176377,1577454582
19808,49.1712058,8.9047191,1577454525
19809,49.2066217,8.8480198,1577454569
19810,49.1861411,8.894509,1577454539
19811,49.1623054,8.9107749,1577454521
19812,49.1983589,8.8747845,1577454554
19813,49.167579,8.9071805,1577454524
19814,49.1439816,8.9389819,1577454501
19815,49.1567378,8.9145684,1577454518
19816,49.1411178,8.9471248,1577454493
19817,49.1463232,8.9323059,1577454506
19818,49.196318,8.8780134,1577454553
19819,49.1552145,8.9178976,1577454515
19820,49.1315987,8.9741824,1577454478
19821,49.1510281,8.9241216,1577454508
19822,49.1372287,8.9581202,1577454490
19823,49.1300842,8.9785032,1577454477
19824,49.1223211,8.9904999,1577454467
19825,49.1289048,8.981827,1577454476
19826,49.1261242,8.9897519,1577454470
19827,49.127388,8.9861765,1577454475
19828,49.1593261,8.9127999,1577454520
19829,49.1790574,8.8993375,1577454531
19830,49.1398188,8.9507669,1577454492
19831,49.1450166,8.9359829,1577454504
19832,49.1426288,8.9428225,1577454499
19833,49.1840893,8.89589,1577454538
19834,49.1188287,8.9912105,1577454465
19835,49.1099675,8.9930294,1577454460
19836,49.1010225,8.9919562,1577454456
19837,49.2006724,8.8710238,1577454555
19838,49.1533788,8.9219169,1577454513
