batch,acc,batch,loss,size
91,1.0,91,1.92070317268,32
92,1.0,92,1.92446041107,32
93,1.0,93,1.92360711098,32
94,1.0,94,1.92501544952,32
95,1.0,95,1.92204332352,32
96,1.0,96,1.92594742775,32
97,1.0,97,1.92037284374,32
98,0.96875,98,1.98030698299,32
99,0.96875,99,1.96776258945,32
100,0.96875,100,2.13501572609,32
101,1.0,101,1.93731093407,32
102,1.0,102,1.92157578468,32
103,1.0,103,1.92565608025,32
104,0.9375,104,2.05452251434,32
105,1.0,105,1.94752633572,32
106,1.0,106,1.92148327827,32
107,1.0,107,1.92470991611,32
108,1.0,108,1.94129610062,32
109,0.9375,109,2.14739608765,32
110,1.0,110,1.93575429916,32
111,0.96875,111,1.9722237587,32
112,0.96875,112,2.06211853027,32
113,1.0,113,1.92172181606,32
114,1.0,114,1.92388737202,32
115,1.0,115,1.92222476006,32
116,0.96875,116,2.01011562347,32
117,1.0,117,1.92156481743,32
118,0.96875,118,1.99461114407,32
119,1.0,119,1.93405258656,32
120,1.0,120,1.92547273636,32
121,0.9375,121,2.08971261978,32
122,0.9375,122,2.08494544029,32
123,1.0,123,1.95037388802,32
124,1.0,124,1.92336189747,32
125,1.0,125,1.92207074165,32
126,1.0,126,1.92459928989,32
127,1.0,127,1.92488527298,32
128,0.96875,128,2.00199770927,32
129,0.96875,129,1.99853658676,32
130,1.0,130,1.92569124699,32
131,0.96875,131,2.02550673485,32
132,0.96875,132,1.96749889851,32
133,1.0,133,1.92159199715,32
134,0.96875,134,1.95225977898,32
135,1.0,135,1.92171907425,32
136,1.0,136,1.92945933342,32
137,1.0,137,1.92159092426,32
138,1.0,138,1.96633076668,32
139,0.96875,139,2.00438666344,32
140,1.0,140,1.9213783741,32
141,0.96875,141,2.0255150795,32
142,1.0,142,1.92290437222,32
143,0.96875,143,1.99446451664,32
144,0.9375,144,2.07963514328,32
145,1.0,145,1.92131257057,32
146,1.0,146,1.93063461781,32
147,0.96875,147,2.0437939167,32
148,0.96875,148,1.96022474766,32
149,0.90625,149,2.29528999329,32
150,1.0,150,1.93893158436,32
151,1.0,151,1.92244458199,32
152,1.0,152,1.93454480171,32
153,1.0,153,1.92082202435,32
154,1.0,154,1.93587040901,32
155,0.96875,155,2.03143548965,32
156,1.0,156,1.93664288521,32
157,0.96875,157,1.96631467342,32
158,0.96875,158,1.9588098526,32
159,0.96875,159,1.96168828011,32
160,1.0,160,1.93019020557,32
161,0.96875,161,1.99387526512,32
162,1.0,162,1.93105196953,32
163,1.0,163,1.92347991467,32
164,1.0,164,1.92077744007,32
165,1.0,165,1.92681109905,32
166,0.96875,166,2.00358748436,32
167,0.96875,167,2.13760066032,32
168,1.0,168,1.93606638908,32
169,0.96875,169,1.97503709793,32
170,0.96875,170,1.97500693798,32
171,1.0,171,1.92416191101,32
172,1.0,172,1.92738640308,32
173,0.96875,173,2.04047966003,32
174,1.0,174,1.9337939024,32
175,1.0,175,1.9203299284,32
176,1.0,176,1.92208909988,32
177,1.0,177,1.92095768452,32
178,1.0,178,1.9233328104,32
179,1.0,179,1.92353618145,32
180,1.0,180,1.92476642132,32
181,0.96875,181,1.94391894341,32
182,1.0,182,1.92945694923,32
183,1.0,183,1.92662084103,32
184,1.0,184,1.9247815609,32
